Date	Temp	Precip	Humidity	Trap	Trap.Height	Height	FPD	MPD	P.downsi	Moths	Diptera	P. versicolor	TrapID	Bait	WoY	Study.week	OLRE
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.2	0	0	0	1	0	0	10	PAPAYA	13	169	2936
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12	0	0	0	0	0	0	20	PAPAYA	13	169	2941
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.4	0	0	0	0	0	0	30	PAPAYA	13	169	2946
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	11.5	0	0	0	0	0	0	40	PAPAYA	13	169	2951
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	11.9	0	0	0	0	0	0	50	PAPAYA	13	169	2956
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.5	0	0	0	1	0	0	60	PAPAYA	13	169	2961
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.2	0	0	0	1	0	0	70	PAPAYA	13	169	2966
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.5	0	0	0	1	0	0	80	PAPAYA	13	169	2971
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.7	0	0	0	1	0	0	90	PAPAYA	13	169	2976
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	13	0	0	0	1	0	0	100	PAPAYA	13	169	2981
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	11.6	0	1	1	0	0	0	120	PAPAYA	13	169	2986
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.6	0	0	0	0	0	0	130	PAPAYA	13	169	2991
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	12.9	0	0	0	0	0	0	140	PAPAYA	13	169	2996
27/03/2018	23.53472222	0	82.40277778	E	11.1-13m	11.1	0	0	0	2	0	0	150	PAPAYA	13	169	3000
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.2	0	1	1	0	0	0	11	PAPAYA	13	169	2935
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10	0	0	0	6	0	0	21	PAPAYA	13	169	2940
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.4	0	0	0	4	0	0	31	PAPAYA	13	169	2945
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	9.5	0	0	0	1	0	1	41	PAPAYA	13	169	2950
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	9.9	0	0	0	3	0	0	51	PAPAYA	13	169	2955
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.5	0	0	0	8	0	1	61	PAPAYA	13	169	2960
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.2	1	0	1	5	0	0	71	PAPAYA	13	169	2965
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.5	2	0	2	2	0	1	81	PAPAYA	13	169	2970
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.7	0	0	0	5	0	0	91	PAPAYA	13	169	2975
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	9.6	0	0	0	1	0	0	121	PAPAYA	13	169	2985
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.6	0	0	0	3	0	0	131	PAPAYA	13	169	2990
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	10.9	0	0	0	0	0	0	141	PAPAYA	13	169	2995
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	9.1	0	0	0	1	0	0	151	PAPAYA	13	169	2999
27/03/2018	23.53472222	0	82.40277778	D	9.1-11.5m	11.5	1	0	1	4	2	1	101	PAPAYA	13	169	2980
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.2	0	0	0	0	0	0	12	PAPAYA	13	169	2934
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8	0	0	0	2	0	0	22	PAPAYA	13	169	2939
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.4	0	0	0	3	0	1	32	PAPAYA	13	169	2944
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	7.5	1	0	1	6	0	0	42	PAPAYA	13	169	2949
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	7.9	0	0	0	3	0	0	52	PAPAYA	13	169	2954
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.5	0	0	0	4	0	0	62	PAPAYA	13	169	2959
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.2	0	0	0	2	0	0	72	PAPAYA	13	169	2964
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.7	0	0	0	4	0	0	92	PAPAYA	13	169	2974
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	9.5	0	0	0	10	0	0	102	PAPAYA	13	169	2979
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	7.6	0	1	1	1	0	0	122	PAPAYA	13	169	2984
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.6	0	0	0	1	0	0	132	PAPAYA	13	169	2989
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.9	0	0	0	0	0	0	142	PAPAYA	13	169	2994
27/03/2018	23.53472222	0	82.40277778	C	7.1-9.5m	8.5	2	1	3	5	1	0	82	PAPAYA	13	169	2969
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.2	0	0	0	1	0	0	13	PAPAYA	13	169	2933
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6	0	1	1	7	0	0	23	PAPAYA	13	169	2938
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.4	0	0	0	0	0	0	33	PAPAYA	13	169	2943
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	5.5	1	0	1	4	0	0	43	PAPAYA	13	169	2948
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	5.9	0	1	1	0	0	0	53	PAPAYA	13	169	2953
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.5	0	0	0	0	0	0	63	PAPAYA	13	169	2958
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.2	0	0	0	0	0	0	73	PAPAYA	13	169	2963
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.5	0	0	0	5	0	0	83	PAPAYA	13	169	2968
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.7	0	0	0	7	0	0	93	PAPAYA	13	169	2973
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	7.5	0	0	0	10	0	0	103	PAPAYA	13	169	2978
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	5.6	0	0	0	3	0	0	123	PAPAYA	13	169	2983
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.6	0	0	0	2	0	1	133	PAPAYA	13	169	2988
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	6.9	1	0	1	0	0	0	143	PAPAYA	13	169	2993
27/03/2018	23.53472222	0	82.40277778	B	5.1-7.5m	5.1	0	0	0	4	0	0	153	PAPAYA	13	169	2998
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.2	0	0	0	1	0	0	14	PAPAYA	13	169	2932
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4	2	0	2	2	0	1	24	PAPAYA	13	169	2937
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.4	0	0	0	2	0	0	34	PAPAYA	13	169	2942
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	3.5	0	0	0	5	0	0	44	PAPAYA	13	169	2947
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	3.9	0	0	0	0	0	2	54	PAPAYA	13	169	2952
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.5	1	0	1	8	0	0	64	PAPAYA	13	169	2957
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.2	0	0	0	0	0	0	74	PAPAYA	13	169	2962
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.7	0	0	0	3	0	1	94	PAPAYA	13	169	2972
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	5.5	0	0	0	1	0	0	104	PAPAYA	13	169	2977
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	3.6	0	0	0	3	0	0	124	PAPAYA	13	169	2982
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.6	0	0	0	1	0	0	134	PAPAYA	13	169	2987
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.9	2	1	3	4	0	0	144	PAPAYA	13	169	2992
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	3.1	0	0	0	4	0	0	154	PAPAYA	13	169	2997
27/03/2018	23.53472222	0	82.40277778	A	3.1-5.5m	4.5	0	0	0	4	1	0	84	PAPAYA	13	169	2967
23/02/2017	21.47777778	1.2	83.55555556	E	11.1-13m	12.2	0	0	0	0	0	0	10	YEAST	8	60	1719
23/02/2017	21.47777778	1.2	83.55555556	E	11.1-13m	12	0	0	0	0	0	0	20	YEAST	8	60	1724
23/02/2017	21.47777778	1.2	83.55555556	E	11.1-13m	12.4	0	0	0	0	0	0	30	YEAST	8	60	1729
