Temp	sum	binomial_CI.method	binomial_CI.x	binomial_CI.n	binomial_CI.mean	binomial_CI.lower	binomial_CI.upper
16.94444	0	logit	0	0	NA	0	1
17.22222	1	logit	0	1	0	0	0.975
17.64444	0	logit	0	0	NA	0	1
17.75556	0	logit	0	0	NA	0	1
17.96667	4	logit	0	4	0	0	0.6023646
18	0	logit	0	0	NA	0	1
18.01111	0	logit	0	0	NA	0	1
18.28333	4	logit	0	4	0	0	0.6023646
18.43889	0	logit	0	0	NA	0	1
18.45556	0	logit	0	0	NA	0	1
18.49444	0	logit	0	0	NA	0	1
18.72222	2	logit	1	2	0.5	0.05886679	0.9411332
18.81042	7	logit	5	7	0.7142857	0.32661551	0.9279832
19.05126	13	logit	5	13	0.3846154	0.16975635	0.6564125
19.07222	0	logit	0	0	NA	0	1
19.71111	29	logit	18	29	0.6206897	0.43594997	0.7760108
19.98889	0	logit	0	0	NA	0	1
20.08889	4	logit	0	4	0	0	0.6023646
20.16111	0	logit	0	0	NA	0	1
20.63333	0	logit	0	0	NA	0	1
20.77222	0	logit	0	0	NA	0	1
20.83333	15	logit	8	15	0.5333333	0.29300243	0.7591288
21.47778	0	logit	0	0	NA	0	1
21.49444	0	logit	0	0	NA	0	1
21.60764	11	logit	5	11	0.4545455	0.20275904	0.7319415
21.92708	2	logit	1	2	0.5	0.05886679	0.9411332
21.98333	1	logit	0	1	0	0	0.975
22.06028	123	logit	78	123	0.6341463	0.54565916	0.7144194
22.09444	0	logit	0	0	NA	0	1
22.16111	45	logit	24	45	0.5333333	0.38885687	0.672427
22.23333	100	logit	55	100	0.55	0.45182568	0.6444287
22.26667	3	logit	3	3	1	0.29240177	1
22.36667	4	logit	1	4	0.25	0.0335114	0.7621602
22.58889	17	logit	11	17	0.6470588	0.40405832	0.8321379
22.60764	22	logit	14	22	0.6363636	0.42334776	0.8066327
22.71667	3	logit	0	3	0	0	0.7075982
22.82708	49	logit	20	49	0.4081633	0.28064891	0.5493681
22.92222	3	logit	3	3	1	0.29240177	1
23.37153	7	logit	6	7	0.8571429	0.41939838	0.9803294
23.39444	0	logit	0	0	NA	0	1
23.53472	21	logit	7	21	0.3333333	0.16792094	0.5533313
23.60556	28	logit	20	28	0.7142857	0.52407611	0.8502041
24.02778	17	logit	11	17	0.6470588	0.40405832	0.8321379
24.56667	3	logit	1	3	0.3333333	0.0433719	0.8464869
24.7	84	logit	57	84	0.6785714	0.57182885	0.7694329
