Trap	Bait	sum	binomial_CI.method	binomial_CI.x	binomial_CI.n	binomial_CI.mean	binomial_CI.lower	binomial_CI.upper
A	PAPAYA	155	logit	95	155	0.6129032	0.53402943	0.6862695
A	YEAST	95	logit	54	95	0.5684211	0.46740046	0.6640527
B	PAPAYA	151	logit	83	151	0.5496689	0.46972408	0.6271285
B	YEAST	88	logit	52	88	0.5909091	0.48569792	0.6884051
C	PAPAYA	65	logit	34	65	0.5230769	0.40266994	0.6408601
C	YEAST	35	logit	20	35	0.5714286	0.40569932	0.7225483
D	PAPAYA	17	logit	9	17	0.5294118	0.30267578	0.7446263
D	YEAST	6	logit	2	6	0.3333333	0.08389801	0.7318897
E	PAPAYA	4	logit	4	4	1	0.39763536	1
E	YEAST	6	logit	1	6	0.1666667	0.02283255	0.6312528
